cell_id,glat,glng,lat,lng,count,weight
175,34.1,-117.7,34.095228832361656,-117.6958365829833,9800,21993
176,34.1,-117.60000000000001,34.089283600946985,-117.59653926128323,10785,24094
177,34.1,-117.5,34.09101358896904,-117.51214482784911,13714,30371
178,34.1,-117.4,34.08585396459636,-117.40153367949208,7674,16526
179,34.1,-117.30000000000001,34.096049760198746,-117.29720902816194,14501,32285
180,34.1,-117.2,34.088341047416456,-117.21133892850935,6219,13601
181,34.1,-117.10000000000001,34.070827141184765,-117.11777623700269,521,1045
182,34.1,-117.0,34.09021153571429,-116.99516171428571,28,60
183,34.1,-116.4,34.130743045454544,-116.38446840909091,22,47
184,34.1,-116.30000000000001,34.13348754166667,-116.311757,24,48
185,34.1,-114.4,34.128642827586205,-114.37776844827586,29,58
186,34.2,-119.30000000000001,34.22181962988796,-119.25423600078923,67,134
187,34.2,-119.2,34.22734702386605,-119.18159703929307,1586,3191
188,34.2,-119.10000000000001,34.209612535988484,-119.10344546224688,2364,4758
189,34.2,-119.0,34.20789759346027,-119.00622707862489,1460,2953
190,34.2,-118.9,34.18767749529863,-118.89440069117458,2329,4695
191,34.2,-118.80000000000001,34.18627112548975,-118.82603289286772,1135,2292
192,34.2,-118.7,34.15852901048253,-118.66432068477407,735,1496
193,34.2,-118.60000000000001,34.17193219198575,-118.59606544227813,4128,8390
194,34.2,-118.5,34.18111288717527,-118.48046000390823,16453,36836
195,34.2,-118.4,34.187849616007604,-118.4003238788595,15593,33475
196,34.2,-118.30000000000001,34.172145883607435,-118.30345940176453,12236,27471
197,34.2,-118.2,34.1920404496497,-118.23559547009485,2606,5664
198,34.2,-118.10000000000001,34.150398714285714,-118.06113767857143,28,59
199,34.2,-117.9,34.191882593741695,-117.87809722702474,368,761
200,34.2,-117.80000000000001,34.19354488432517,-117.82360431361589,128,257
201,34.2,-117.7,34.18404969119392,-117.67036318713824,217,438
202,34.2,-117.5,34.16553421478908,-117.46709182442595,732,1618
203,34.2,-117.4,34.21320351984512,-117.41247116365297,4825,10935
204,34.2,-117.30000000000001,34.195828690848415,-117.30591967312861,2870,6081
205,34.2,-117.2,34.21643704952153,-117.1948790187363,1324,2738
206,34.2,-117.10000000000001,34.208575158366,-117.112015650445,932,1914
207,34.2,-117.0,34.21940623636363,-116.99974139999999,55,112
208,34.2,-116.80000000000001,34.205236407407405,-116.79935266666668,27,55
209,34.2,-114.60000000000001,34.191035813161335,-114.58743040338852,106,221
210,34.2,-114.4,34.172268419711536,-114.38618295792449,32,64
211,34.2,-114.30000000000001,34.16301645161952,-114.30283357411469,24,48
212,34.300000000000004,-119.4,34.33373572468036,-119.4008882881902,461,923
213,34.300000000000004,-119.30000000000001,34.28474148128218,-119.29690351040082,1449,2917
214,34.300000000000004,-119.2,34.26775087336975,-119.2044881665481,1466,2952
215,34.300000000000004,-119.10000000000001,34.29950109670509,-119.10913858072513,1401,2843
216,34.300000000000004,-119.0,34.274742357380916,-118.99078995914422,586,1211
217,34.300000000000004,-118.9,34.286036216475054,-118.89272233663681,837,1721
218,34.300000000000004,-118.80000000000001,34.28400481962989,-118.80193662534859,720,1459
219,34.300000000000004,-118.7,34.27966791055346,-118.695244898899,829,1664
220,34.300000000000004,-118.60000000000001,34.272613648288676,-118.59354795240598,2314,4740
221,34.300000000000004,-118.5,34.29798596242577,-118.48838365448533,11795,27005
222,34.300000000000004,-118.4,34.27632573851346,-118.42178842158009,6436,14760
223,34.300000000000004,-118.30000000000001,34.269668057336084,-118.32844392489876,675,1569
224,34.300000000000004,-118.2,34.29005131093256,-118.18768529898944,154,308
225,34.300000000000004,-118.10000000000001,34.317107841538196,-118.11647159100008,176,367
226,34.300000000000004,-118.0,34.29743986111111,-118.01601274074073,108,219
227,34.300000000000004,-117.9,34.27661526638077,-117.86833118055333,39,78
228,34.300000000000004,-117.80000000000001,34.29556448540205,-117.83938595718251,117,234
229,34.300000000000004,-117.60000000000001,34.30698104776512,-117.62169687937656,45,90
230,34.300000000000004,-117.5,34.309384139599636,-117.46862432870904,3911,8940
231,34.300000000000004,-117.4,34.29648617492016,-117.4309684075493,550,1143
232,34.300000000000004,-117.30000000000001,34.28085413362277,-117.30491861587805,283,616
233,34.300000000000004,-117.2,34.26518872098629,-117.19188413166536,366,738
